,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
125,0.015,30.0,0.001,0.0,1.0,3.0,0.7953171730041504,0.6237288135593221
126,0.015,30.0,0.01,-1.0,-1.0,1.0,0.7939897775650024,0.6728813559322034
127,0.015,30.0,0.01,-1.0,-1.0,3.0,0.6615939140319824,0.6440677966101694
128,0.015,30.0,0.01,-1.0,0.0,1.0,0.7685409784317017,0.6033898305084746
129,0.015,30.0,0.01,-1.0,0.0,3.0,0.7362048625946045,0.588135593220339
130,0.015,30.0,0.01,-1.0,1.0,1.0,0.7817721962928772,0.6186440677966102
131,0.015,30.0,0.01,-1.0,1.0,3.0,0.6617314219474792,0.6423728813559322
132,0.015,30.0,0.01,0.5,-1.0,1.0,0.8371970653533936,0.6322033898305085
133,0.015,30.0,0.01,0.5,-1.0,3.0,0.8490102291107178,0.6694915254237288
134,0.015,30.0,0.01,0.5,0.0,1.0,0.8446993827819824,0.6627118644067796
135,0.015,30.0,0.01,0.5,0.0,3.0,0.8537028431892395,0.6728813559322034
136,0.015,30.0,0.01,0.5,1.0,1.0,0.8294838070869446,0.635593220338983
137,0.015,30.0,0.01,0.5,1.0,3.0,0.8404749631881714,0.6610169491525424
138,0.015,30.0,0.01,0.0,-1.0,1.0,0.8224774599075317,0.6338983050847458
139,0.015,30.0,0.01,0.0,-1.0,3.0,0.8331402540206909,0.6372881355932203
140,0.015,30.0,0.01,0.0,0.0,1.0,0.8348888158798218,0.6508474576271186
141,0.015,30.0,0.01,0.0,0.0,3.0,0.8348888158798218,0.6508474576271186
142,0.015,30.0,0.01,0.0,1.0,1.0,0.8180921077728271,0.6271186440677966
143,0.015,30.0,0.01,0.0,1.0,3.0,0.8115794658660889,0.6271186440677966
144,0.015,30.0,0.005,-1.0,-1.0,1.0,0.793523907661438,0.6728813559322034
145,0.015,30.0,0.005,-1.0,-1.0,3.0,0.6616098284721375,0.6457627118644068
146,0.015,30.0,0.005,-1.0,0.0,1.0,0.7511169910430908,0.6067796610169491
147,0.015,30.0,0.005,-1.0,0.0,3.0,0.7369025945663452,0.5915254237288136
148,0.015,30.0,0.005,-1.0,1.0,1.0,0.7847208976745605,0.6186440677966102
149,0.015,30.0,0.005,-1.0,1.0,3.0,0.6583739519119263,0.6457627118644068
150,0.015,30.0,0.005,0.5,-1.0,1.0,0.8372902870178223,0.6322033898305085
151,0.015,30.0,0.005,0.5,-1.0,3.0,0.8482768535614014,0.6694915254237288
152,0.015,30.0,0.005,0.5,0.0,1.0,0.8449665307998657,0.6627118644067796
153,0.015,30.0,0.005,0.5,0.0,3.0,0.8539246320724487,0.6711864406779661
154,0.015,30.0,0.005,0.5,1.0,1.0,0.8330751657485962,0.6389830508474577
155,0.015,30.0,0.005,0.5,1.0,3.0,0.8508120179176331,0.6694915254237288
156,0.015,30.0,0.005,0.0,-1.0,1.0,0.8235689401626587,0.6338983050847458
157,0.015,30.0,0.005,0.0,-1.0,3.0,0.8418006896972656,0.635593220338983
158,0.015,30.0,0.005,0.0,0.0,1.0,0.6251937747001648,0.7067796610169491
159,0.015,30.0,0.005,0.0,0.0,3.0,0.6251937747001648,0.7067796610169491
160,0.015,30.0,0.005,0.0,1.0,1.0,0.8120548129081726,0.6305084745762712
161,0.015,30.0,0.005,0.0,1.0,3.0,0.816612720489502,0.6271186440677966
162,0.01,10.0,0.001,-1.0,-1.0,1.0,0.777134895324707,0.6559322033898305
163,0.01,10.0,0.001,-1.0,-1.0,3.0,0.6414903402328491,0.6610169491525424
164,0.01,10.0,0.001,-1.0,0.0,1.0,0.7449321746826172,0.6067796610169491
165,0.01,10.0,0.001,-1.0,0.0,3.0,0.6391259431838989,0.6610169491525424
166,0.01,10.0,0.001,-1.0,1.0,1.0,0.7837280631065369,0.6220338983050847
167,0.01,10.0,0.001,-1.0,1.0,3.0,0.6351563334465027,0.6610169491525424
168,0.01,10.0,0.001,0.5,-1.0,1.0,0.8554831743240356,0.6576271186440678
169,0.01,10.0,0.001,0.5,-1.0,3.0,0.8479729890823364,0.6694915254237288
170,0.01,10.0,0.001,0.5,0.0,1.0,0.8438547849655151,0.6627118644067796
171,0.01,10.0,0.001,0.5,0.0,3.0,0.8287807703018188,0.6728813559322034
172,0.01,10.0,0.001,0.5,1.0,1.0,0.8491551280021667,0.6372881355932203
173,0.01,10.0,0.001,0.5,1.0,3.0,0.8356690406799316,0.6627118644067796
174,0.01,10.0,0.001,0.0,-1.0,1.0,0.8136613368988037,0.6305084745762712
175,0.01,10.0,0.001,0.0,-1.0,3.0,0.8314228653907776,0.635593220338983
176,0.01,10.0,0.001,0.0,0.0,1.0,0.47695910930633545,0.7067796610169491
177,0.01,10.0,0.001,0.0,0.0,3.0,0.47695910930633545,0.7067796610169491
178,0.01,10.0,0.001,0.0,1.0,1.0,0.8220375776290894,0.6254237288135593
179,0.01,10.0,0.001,0.0,1.0,3.0,0.8068965077400208,0.6254237288135593
180,0.01,10.0,0.01,-1.0,-1.0,1.0,0.8068117499351501,0.6728813559322034
181,0.01,10.0,0.01,-1.0,-1.0,3.0,0.6624735593795776,0.6440677966101694
182,0.01,10.0,0.01,-1.0,0.0,1.0,0.744163990020752,0.6067796610169491
183,0.01,10.0,0.01,-1.0,0.0,3.0,0.6611632704734802,0.6440677966101694
184,0.01,10.0,0.01,-1.0,1.0,1.0,0.7960372567176819,0.6169491525423729
185,0.01,10.0,0.01,-1.0,1.0,3.0,0.6589921116828918,0.6440677966101694
186,0.01,10.0,0.01,0.5,-1.0,1.0,0.8423957824707031,0.635593220338983
